Crime category,Severity,Description,Location
Drugs,Medium,"In the middle of the street, the police found the suspect with narcotics ready for sale.",Burj Khalifa
Rape,High,"Late at night, the victim was targeted and assaulted by the suspect.",La Mer Beach
Robbery,Medium,"At the break of dawn, the victim was attacked and their belongings were stolen.",Dubai Mall
Willful Murder,High,"In broad daylight, the victim was killed with a sharp weapon in a fit of anger.",Al Satwa
Burglary,Low,"Late at night, the burglar broke into the house and stole valuable electronics and jewelry.",Jumeirah Village Circle
Robbery,Medium,"During a quiet evening, the suspect broke into a business and emptied the safe.",Jumeirah Beach
Rape,High,"In a crowded market, the suspect brutally assaulted the victim in a dark alley.",Jebel Ali
Theft,Medium,"During a quiet evening, the victim's backpack was stolen while they were distracted.",La Mer Beach
Abduction,High,"In broad daylight, the suspect kidnapped the victim from a public park.",Dubai Mall
Theft,Medium,"In broad daylight, the suspect broke into a vehicle and took valuable items.",Mall of the Emirates
Theft,Medium,"During a quiet evening, the suspect stole a mobile phone from the victim's bag.",Dubai Silicon Oasis
Theft,Medium,"In broad daylight, the suspect stole a mobile phone from the victim's bag.",Business Bay
Robbery,Medium,"Late at night, the thief targeted a pedestrian, robbing them on the street.",Dubai Silicon Oasis
Theft,Medium,"At the break of dawn, the thief snuck into a parked car and stole personal belongings.",Global Village
Abduction,High,"Late at night, the victim was kidnapped while walking alone at night.",Dubai Silicon Oasis
Aggravated Assault,High,"In a deserted alley, the suspect violently assaulted the victim, causing head injuries.",Downtown Dubai
Burglary,Low,"In a deserted alley, a break-in occurred while the owners were out, and cash was stolen.",Al Mamzar Beach
Rape,High,"During a quiet evening, the victim was attacked and violated by the suspect in a secluded area.",Jumeirah Beach
Drugs,Medium,"Near a public park, the suspect was involved in drug distribution at a nightclub.",Dubai Silicon Oasis
Burglary,Low,"Late at night, the suspect carried out a burglary while the owners were on vacation.",Dubai Mall
Abduction,High,"In a crowded market, an abduction plot was carried out in a busy marketplace.",Global Village
Rape,High,"Late at night, a brutal assault left the victim emotionally and physically scarred.",Dragon Mart
Human Trafficking,High,"At the break of dawn, a human trafficking ring was uncovered, freeing multiple victims.",Dubai Silicon Oasis
Burglary,Low,"During a quiet evening, a burglary took place in a suburban neighborhood, with expensive items stolen.",Al Qusais
Abduction,High,"At the break of dawn, an abduction plot was carried out in a busy marketplace.",Deira
Aggravated Assault,High,"In broad daylight, a punch to the face knocked the victim unconscious.",Al Satwa
Aggravated Assault,High,"In broad daylight, the victim was severely injured after being struck with a crowbar.",Mall of the Emirates
Theft,Medium,"During a quiet evening, the suspect stole electronics from a shop and fled the scene.",Al Barsha
Drugs,Medium,"Near a public park, the authorities seized a stash of drugs hidden in the suspect's car.",Dubai Marina
Robbery,Medium,"In the middle of the street, an armed robbery occurred at a bank, with hostages held.",Jumeirah Village Circle
Aggravated Assault,High,"In the middle of the street, the attacker used brute force, leaving the victim with multiple fractures.",Jumeirah Beach
Rape,High,"Outside a busy mall, the suspect overpowered the victim and committed a heinous crime.",Dragon Mart
Robbery,Medium,"In a crowded market, the thief targeted a pedestrian, robbing them on the street.",Al Mamzar Beach
Drugs,Medium,"In a crowded market, the authorities seized a stash of drugs hidden in the suspect's car.",Global Village
Willful Murder,High,"Outside a busy mall, the victim was shot at close range during a gang dispute.",Deira
Theft,Medium,"During a quiet evening, the thief snuck into a parked car and stole personal belongings.",Mall of the Emirates
Theft,Medium,"Near a public park, the victim reported their phone missing after a crowded event.",City Walk
Abduction,High,"Near a public park, the victim was dragged into a car and disappeared.",Al Barsha
Willful Murder,High,"In a crowded market, the killer ambushed the victim and stabbed them fatally.",Dragon Mart
Aggravated Assault,High,"At the break of dawn, a punch to the face knocked the victim unconscious.",Burj Khalifa
Robbery,Medium,"In broad daylight, the thief targeted a pedestrian, robbing them on the street.",Al Barsha
Theft,Medium,"Late at night, the victim's backpack was stolen while they were distracted.",Mall of the Emirates
Aggravated Assault,High,"Late at night, the victim was beaten with a metal rod, suffering severe injuries.",Jumeirah Village Circle
Human Trafficking,High,"Late at night, a human trafficking ring was uncovered, freeing multiple victims.",Jebel Ali
Robbery,Medium,"In the middle of the street, a thief broke into a home, stealing valuables and fleeing.",Global Village
Drugs,Medium,"In a crowded market, the suspect was caught selling illegal substances on a street corner.",Dubai Silicon Oasis
Drugs,Medium,"In the middle of the street, a drug bust uncovered bags of heroin and cocaine.",Al Mamzar Beach
Willful Murder,High,"Outside a busy mall, the killer ambushed the victim and stabbed them fatally.",Al Fahidi Historical District
Robbery,Medium,"During a quiet evening, the suspect used a weapon to intimidate and steal from the victim.",Dubai Silicon Oasis
Rape,High,"In a crowded market, the suspect brutally assaulted the victim in a dark alley.",Dubai Marina
Aggravated Assault,High,"In broad daylight, the attacker assaulted the victim with a bat, breaking bones.",Al Barsha
Burglary,Low,"Late at night, the suspect carried out a burglary while the owners were on vacation.",Al Fahidi Historical District
Robbery,Medium,"Outside a busy mall, the suspect robbed a passerby, taking their wallet.",Dubai Silicon Oasis
Willful Murder,High,"At the break of dawn, the suspect shot the victim multiple times, leaving them dead at the scene.",Al Fahidi Historical District
Robbery,Medium,"In broad daylight, a thief broke into a home, stealing valuables and fleeing.",Al Mamzar Beach
Drugs,Medium,"In broad daylight, the authorities seized a stash of drugs hidden in the suspect's car.",Dragon Mart
Robbery,Medium,"During a quiet evening, a robbery took place at a convenience store, with cash stolen.",Dubai Marina
Willful Murder,High,"During a quiet evening, the suspect violently attacked the victim, leading to death.",Jebel Ali
Robbery,Medium,"In broad daylight, the suspect robbed a passerby, taking their wallet.",Al Maktoum International Airport
Human Trafficking,High,"In a crowded market, the traffickers held their victims in inhumane conditions.",Jumeirah Village Circle
Burglary,Low,"In a crowded market, the burglar broke into the house and stole valuable electronics and jewelry.",Al Satwa
Theft,Medium,"At the break of dawn, the thief snuck into a parked car and stole personal belongings.",Dragon Mart
Other,Low,"In the middle of the street, the victim's property was damaged in an act of vandalism.",Dragon Mart
Willful Murder,High,"Outside a busy mall, the victim was killed with a sharp weapon in a fit of anger.",Jumeirah Village Circle
Theft,Medium,"In a deserted alley, a shoplifting incident occurred at a high-end store.",Deira
Aggravated Assault,High,"During a quiet evening, the suspect violently assaulted the victim, causing head injuries.",Global Village
Theft,Medium,"In a deserted alley, the suspect stole electronics from a shop and fled the scene.",Palm Jumeirah
Abduction,High,"Late at night, the victim was kidnapped while walking alone at night.",Al Maktoum International Airport
Robbery,Medium,"Outside a busy mall, the suspect used a weapon to intimidate and steal from the victim.",Dubai Marina
Rape,High,"During a quiet evening, the suspect brutally assaulted the victim in a dark alley.",Al Qusais
Abduction,High,"In broad daylight, the victim was forced into a van and held against their will.",Jumeirah Beach
Other,Low,"In the middle of the street, the victim's property was damaged in an act of vandalism.",Dubai Silicon Oasis
Robbery,Medium,"At the break of dawn, a robbery took place at a convenience store, with cash stolen.",Business Bay
Rape,High,"Near a public park, the victim was sexually assaulted while walking home.",Dragon Mart
Rape,High,"In a crowded market, the victim was attacked and violated by the suspect in a secluded area.",La Mer Beach
Burglary,Low,"In the middle of the street, the burglar broke into the house and stole valuable electronics and jewelry.",Jumeirah Beach
Aggravated Assault,High,"Near a public park, a violent altercation left the victim unconscious on the ground.",Al Maktoum International Airport
Robbery,Medium,"Late at night, the thief targeted a pedestrian, robbing them on the street.",Emirates Hills
Burglary,Low,"In broad daylight, the thief ransacked the house and fled with stolen goods.",Dubai Creek Harbour
Drugs,Medium,"In a crowded market, the police found the suspect with narcotics ready for sale.",Al Maktoum International Airport
Aggravated Assault,High,"Near a public park, the victim was attacked with a blunt object, suffering severe trauma.",Burj Khalifa
Robbery,Medium,"Late at night, the suspect used a weapon to intimidate and steal from the victim.",Al Qusais
Robbery,Medium,"Late at night, the suspect stormed into the store, demanding cash at gunpoint.",City Walk
Theft,Medium,"In a crowded market, a purse was snatched from the victim while they walked.",City Walk
Other,Low,"During a quiet evening, the suspect destroyed the victim's car as an act of revenge.",Al Khawaneej
Robbery,Medium,"During a quiet evening, the thief targeted a pedestrian, robbing them on the street.",Palm Jumeirah
Other,Low,"During a quiet evening, a suspect was involved in a petty dispute at a market.",Al Maktoum International Airport
Drugs,Medium,"In a crowded market, the suspect was caught selling illegal substances on a street corner.",Dubai Mall
Theft,Medium,"In a deserted alley, the victim reported their phone missing after a crowded event.",Mall of the Emirates
Human Trafficking,High,"In a crowded market, the suspect was caught smuggling individuals for forced labor.",City Walk
Other,Low,"Near a public park, the suspect disrupted an event, causing a public disturbance.",Dubai Mall
Burglary,Low,"Outside a busy mall, the burglar broke into the house and stole valuable electronics and jewelry.",Burj Khalifa
Drugs,Medium,"During a quiet evening, the authorities seized a stash of drugs hidden in the suspect's car.",Jebel Ali
Theft,Medium,"Late at night, a shoplifting incident occurred at a high-end store.",Al Qusais
Robbery,Medium,"Late at night, an armed robbery occurred at a bank, with hostages held.",Dubai Mall
Drugs,Medium,"Near a public park, a drug bust uncovered bags of heroin and cocaine.",Deira
Burglary,Low,"At the break of dawn, the suspect shattered a window and took personal belongings.",City Walk
Drugs,Medium,"In the middle of the street, the police confiscated several bags of illegal substances from the suspect.",Al Satwa
Theft,Medium,"In broad daylight, the suspect stole a mobile phone from the victim's bag.",La Mer Beach
Willful Murder,High,"At the break of dawn, the suspect shot the victim multiple times, leaving them dead at the scene.",Jumeirah Village Circle
Drugs,Medium,"In a deserted alley, the police confiscated several bags of illegal substances from the suspect.",Dragon Mart
Willful Murder,High,"Late at night, the suspect violently attacked the victim, leading to death.",Al Khawaneej
Robbery,Medium,"Outside a busy mall, the suspect robbed a passerby, taking their wallet.",Al Mamzar Beach
Theft,Medium,"In a deserted alley, the thief snuck into a parked car and stole personal belongings.",Dubai Mall
Abduction,High,"Outside a busy mall, the suspect kidnapped the victim from a public park.",Mall of the Emirates
Burglary,Low,"In a crowded market, the suspect carried out a burglary while the owners were on vacation.",Al Maktoum International Airport
Aggravated Assault,High,"Outside a busy mall, the attacker used brute force, leaving the victim with multiple fractures.",Al Khawaneej
Burglary,Low,"In a crowded market, the thief sneaked into the home and took several gadgets.",Al Maktoum International Airport
Burglary,Low,"Near a public park, the suspect shattered a window and took personal belongings.",La Mer Beach
Other,Low,"During a quiet evening, the victim's property was damaged in an act of vandalism.",Al Barsha
Burglary,Low,"In a crowded market, the victim reported missing jewelry after a break-in.",Al Barsha
Willful Murder,High,"In a deserted alley, the victim was shot at close range during a gang dispute.",Jumeirah Village Circle
Burglary,Low,"Late at night, the burglar broke into the house and stole valuable electronics and jewelry.",Al Qusais
Robbery,Medium,"In a crowded market, the suspect robbed a passerby, taking their wallet.",Al Khawaneej
Human Trafficking,High,"At the break of dawn, the victims were sold into slavery after being trafficked.",Al Khawaneej
Aggravated Assault,High,"In the middle of the street, the attacker used brute force, leaving the victim with multiple fractures.",Jebel Ali
Theft,Medium,"Late at night, the suspect broke into a vehicle and took valuable items.",Dubai Creek Harbour
Abduction,High,"Near a public park, the victim was dragged into a car and disappeared.",Burj Khalifa
Other,Low,"Outside a busy mall, the suspect destroyed the victim's car as an act of revenge.",Al Barsha
Other,Low,"In a deserted alley, a minor disturbance broke out at a local festival.",Jumeirah Beach
Abduction,High,"At the break of dawn, an abduction plot was carried out in a busy marketplace.",Al Quoz
Rape,High,"During a quiet evening, a heinous crime occurred, leaving the victim traumatized.",Emirates Hills
Willful Murder,High,"Late at night, a gunshot to the head killed the victim instantly.",Downtown Dubai
Human Trafficking,High,"Near a public park, the traffickers were arrested after victims were found in a basement.",Jumeirah Beach
Other,Low,"In the middle of the street, the suspect threatened the victim but did not cause physical harm.",City Walk
Willful Murder,High,"Near a public park, a gunshot to the head killed the victim instantly.",Deira
Human Trafficking,High,"Outside a busy mall, a human trafficking ring was uncovered, freeing multiple victims.",La Mer Beach
Human Trafficking,High,"During a quiet evening, the victims were sold into slavery after being trafficked.",Dubai Mall
Theft,Medium,"In broad daylight, a purse was snatched from the victim while they walked.",Mall of the Emirates
Theft,Medium,"During a quiet evening, the victim's backpack was stolen while they were distracted.",Palm Jumeirah
Burglary,Low,"During a quiet evening, the burglar entered the residence through a back door and stole valuables.",Emirates Hills
Aggravated Assault,High,"During a quiet evening, the victim was attacked with a blunt object, suffering severe trauma.",Al Qusais
Burglary,Low,"Near a public park, the suspect carried out a burglary while the owners were on vacation.",Al Barsha
Willful Murder,High,"At the break of dawn, the victim was killed with a sharp weapon in a fit of anger.",Dragon Mart
Aggravated Assault,High,"In the middle of the street, the attacker used brute force, leaving the victim with multiple fractures.",Business Bay
Burglary,Low,"In a deserted alley, the thief ransacked the house and fled with stolen goods.",Emirates Hills
Drugs,Medium,"In a crowded market, the police found the suspect with narcotics ready for sale.",Downtown Dubai
Theft,Medium,"In a deserted alley, the thief snuck into a parked car and stole personal belongings.",Global Village
Aggravated Assault,High,"During a quiet evening, the victim was severely injured after being struck with a crowbar.",Global Village
Drugs,Medium,"In broad daylight, the police raided the suspect's apartment and found narcotics.",Al Satwa
Rape,High,"Near a public park, the victim was forcefully assaulted in a parking lot.",Dubai Creek Harbour
Abduction,High,"In the middle of the street, the suspect forced the victim into a vehicle and drove away.",Al Maktoum International Airport
Aggravated Assault,High,"Late at night, the victim was attacked with a blunt object, suffering severe trauma.",Al Fahidi Historical District
Willful Murder,High,"In the middle of the street, an argument ended with the victim being strangled to death.",Jumeirah Beach
Theft,Medium,"At the break of dawn, the suspect broke into a vehicle and took valuable items.",Al Maktoum International Airport
Burglary,Low,"At the break of dawn, a break-in occurred while the owners were out, and cash was stolen.",City Walk
Abduction,High,"In the middle of the street, the victim was kidnapped while walking alone at night.",Al Khawaneej
Rape,High,"During a quiet evening, the victim was sexually assaulted while walking home.",Al Maktoum International Airport
Burglary,Low,"In a crowded market, a burglary took place in a suburban neighborhood, with expensive items stolen.",Business Bay
Burglary,Low,"Late at night, the thief ransacked the house and fled with stolen goods.",Jumeirah Beach
Rape,High,"In the middle of the street, a brutal assault left the victim emotionally and physically scarred.",Al Mamzar Beach
Other,Low,"In the middle of the street, a public nuisance was caused by the suspect during a protest.",City Walk
Burglary,Low,"At the break of dawn, the victim reported missing jewelry after a break-in.",Al Maktoum International Airport
Burglary,Low,"In a crowded market, the victim’s house was broken into, and various items were taken.",Jumeirah Village Circle
Theft,Medium,"During a quiet evening, the suspect stole electronics from a shop and fled the scene.",Jumeirah Village Circle
Theft,Medium,"Outside a busy mall, a bike was stolen from outside a cafe in broad daylight.",Dubai Creek Harbour
Human Trafficking,High,"During a quiet evening, the traffickers were arrested after victims were found in a basement.",Al Quoz
Burglary,Low,"At the break of dawn, the suspect carried out a burglary while the owners were on vacation.",La Mer Beach
Burglary,Low,"In the middle of the street, the victim’s house was broken into, and various items were taken.",Jebel Ali
Human Trafficking,High,"Outside a busy mall, the traffickers were arrested after victims were found in a basement.",Al Satwa
Human Trafficking,High,"During a quiet evening, a large-scale trafficking operation was dismantled by authorities.",La Mer Beach
Other,Low,"In a crowded market, the suspect threatened the victim but did not cause physical harm.",Dubai Creek Harbour
Burglary,Low,"In a crowded market, the burglar broke into the house and stole valuable electronics and jewelry.",Mall of the Emirates
Theft,Medium,"In a deserted alley, a bike was stolen from outside a cafe in broad daylight.",Al Quoz
Burglary,Low,"At the break of dawn, the victim reported missing jewelry after a break-in.",Dubai Marina
Aggravated Assault,High,"Late at night, a violent altercation left the victim unconscious on the ground.",Palm Jumeirah
Human Trafficking,High,"In the middle of the street, the traffickers held their victims in inhumane conditions.",Jumeirah Beach
Willful Murder,High,"In a crowded market, a gunshot to the head killed the victim instantly.",Palm Jumeirah
Burglary,Low,"Late at night, the burglar broke into the house and stole valuable electronics and jewelry.",La Mer Beach
Abduction,High,"Outside a busy mall, the suspect forced the victim into a vehicle and drove away.",Jumeirah Beach
Abduction,High,"In the middle of the street, a child was taken from their home while the parents were away.",Deira
Burglary,Low,"In a deserted alley, the burglar entered the residence through a back door and stole valuables.",Dubai Creek Harbour
Other,Low,"Outside a busy mall, the suspect destroyed the victim's car as an act of revenge.",Downtown Dubai
Burglary,Low,"In a crowded market, the suspect shattered a window and took personal belongings.",Al Fahidi Historical District
Burglary,Low,"In a deserted alley, a break-in occurred while the owners were out, and cash was stolen.",Al Khawaneej
Other,Low,"Near a public park, a suspect was involved in a petty dispute at a market.",Emirates Hills
Drugs,Medium,"In a crowded market, the police found the suspect with narcotics ready for sale.",Jumeirah Beach
Robbery,Medium,"During a quiet evening, the victim was attacked and their belongings were stolen.",Al Satwa
Aggravated Assault,High,"In broad daylight, the victim was punched repeatedly in a brutal attack.",Emirates Hills
Theft,Medium,"Late at night, a purse was snatched from the victim while they walked.",Al Mamzar Beach
Theft,Medium,"In a crowded market, the suspect stole a mobile phone from the victim's bag.",Jumeirah Village Circle
Other,Low,"Near a public park, a minor disturbance broke out at a local festival.",City Walk
Rape,High,"In broad daylight, the victim was attacked and violated by the suspect in a secluded area.",City Walk
Aggravated Assault,High,"During a quiet evening, the attacker used brute force, leaving the victim with multiple fractures.",Al Qusais
Human Trafficking,High,"In the middle of the street, a human trafficking ring was uncovered, freeing multiple victims.",Al Mamzar Beach
Drugs,Medium,"At the break of dawn, a drug operation was shut down, and the suspect was arrested.",Mall of the Emirates
Human Trafficking,High,"In a crowded market, the victims were sold into slavery after being trafficked.",Jebel Ali
Rape,High,"In a crowded market, a brutal assault left the victim emotionally and physically scarred.",La Mer Beach
Aggravated Assault,High,"Outside a busy mall, the victim was beaten with a metal rod, suffering severe injuries.",Al Satwa
Burglary,Low,"In broad daylight, a burglary took place in a suburban neighborhood, with expensive items stolen.",Deira
Rape,High,"In broad daylight, a heinous crime occurred, leaving the victim traumatized.",Dragon Mart
Robbery,Medium,"In a deserted alley, a robbery took place at a convenience store, with cash stolen.",Downtown Dubai
Aggravated Assault,High,"At the break of dawn, the suspect violently assaulted the victim, causing head injuries.",La Mer Beach
Other,Low,"In a crowded market, a public nuisance was caused by the suspect during a protest.",Palm Jumeirah
Theft,Medium,"During a quiet evening, a bike was stolen from outside a cafe in broad daylight.",Dubai Silicon Oasis
Human Trafficking,High,"At the break of dawn, the victim was kidnapped and trafficked across international borders.",Al Quoz
Willful Murder,High,"In the middle of the street, a gunshot to the head killed the victim instantly.",Al Satwa
Theft,Medium,"At the break of dawn, the suspect stole a mobile phone from the victim's bag.",Mall of the Emirates
Rape,High,"In the middle of the street, the victim was targeted and assaulted by the suspect.",Palm Jumeirah
Robbery,Medium,"In broad daylight, a thief broke into a home, stealing valuables and fleeing.",Downtown Dubai
Willful Murder,High,"In broad daylight, the killer planned the murder and executed the victim with precision.",Dubai Silicon Oasis
Burglary,Low,"Near a public park, the suspect carried out a burglary while the owners were on vacation.",Al Maktoum International Airport
Human Trafficking,High,"In a deserted alley, the suspect was involved in moving individuals across borders for exploitation.",Dubai Marina
Robbery,Medium,"Outside a busy mall, the victim was mugged while walking, and their valuables were taken.",Dubai Marina
Robbery,Medium,"In a crowded market, the suspect stormed into the store, demanding cash at gunpoint.",Emirates Hills
Burglary,Low,"In the middle of the street, a break-in occurred while the owners were out, and cash was stolen.",Al Satwa
Willful Murder,High,"In a crowded market, the suspect used a knife to fatally wound the victim in a rage.",Al Barsha
Robbery,Medium,"In the middle of the street, the suspect stormed into the store, demanding cash at gunpoint.",Al Khawaneej
Human Trafficking,High,"Late at night, the traffickers held their victims in inhumane conditions.",Emirates Hills
Rape,High,"Near a public park, the suspect brutally assaulted the victim in a dark alley.",Deira
Willful Murder,High,"During a quiet evening, the suspect used a knife to fatally wound the victim in a rage.",Dubai Mall
Abduction,High,"In broad daylight, a child was taken from their home while the parents were away.",Business Bay
Theft,Medium,"In a deserted alley, the suspect stole a mobile phone from the victim's bag.",Global Village
Robbery,Medium,"In a deserted alley, the suspect stormed into the store, demanding cash at gunpoint.",La Mer Beach
Robbery,Medium,"In a crowded market, the thief targeted a pedestrian, robbing them on the street.",Al Mamzar Beach
Willful Murder,High,"In a deserted alley, the victim was shot at close range during a gang dispute.",La Mer Beach
Other,Low,"In the middle of the street, a verbal argument escalated, but no physical altercation occurred.",La Mer Beach
Theft,Medium,"In broad daylight, a thief grabbed a laptop from a coffee shop and ran.",Al Mamzar Beach
Willful Murder,High,"At the break of dawn, the victim was left bleeding after being stabbed repeatedly by the suspect.",Downtown Dubai
Aggravated Assault,High,"In broad daylight, the victim was beaten with a metal rod, suffering severe injuries.",Dubai Creek Harbour
Robbery,Medium,"In broad daylight, the suspect robbed a passerby, taking their wallet.",Dragon Mart
Rape,High,"In a crowded market, the attacker cornered the victim and committed a violent act.",City Walk
Robbery,Medium,"Late at night, the thief targeted a pedestrian, robbing them on the street.",Al Qusais
Robbery,Medium,"In a crowded market, an armed robbery occurred at a bank, with hostages held.",Dubai Mall
Abduction,High,"Outside a busy mall, the suspect kidnapped the victim from a public park.",Al Qusais
Human Trafficking,High,"At the break of dawn, the suspect was caught smuggling individuals for forced labor.",Al Qusais
Burglary,Low,"In the middle of the street, the suspect shattered a window and took personal belongings.",Downtown Dubai
Abduction,High,"In a deserted alley, an abduction plot was carried out in a busy marketplace.",Dubai Mall
Human Trafficking,High,"In the middle of the street, a human trafficking ring was uncovered, freeing multiple victims.",Downtown Dubai
Willful Murder,High,"Late at night, the suspect violently attacked the victim, leading to death.",Al Khawaneej
Rape,High,"In the middle of the street, the suspect brutally assaulted the victim in a dark alley.",Al Barsha
Theft,Medium,"In the middle of the street, a purse was snatched from the victim while they walked.",Mall of the Emirates
Drugs,Medium,"In the middle of the street, the police raided the suspect's apartment and found narcotics.",Dubai Creek Harbour
Abduction,High,"In the middle of the street, an abduction plot was carried out in a busy marketplace.",Dubai Marina
Theft,Medium,"During a quiet evening, a shoplifting incident occurred at a high-end store.",Jebel Ali
Theft,Medium,"In broad daylight, a thief grabbed a laptop from a coffee shop and ran.",Emirates Hills
Burglary,Low,"At the break of dawn, a break-in occurred while the owners were out, and cash was stolen.",Mall of the Emirates
Abduction,High,"In a crowded market, the victim was dragged into a car and disappeared.",City Walk
Aggravated Assault,High,"In the middle of the street, the victim was attacked with a blunt object, suffering severe trauma.",Al Maktoum International Airport
Robbery,Medium,"In broad daylight, the victim was mugged while walking, and their valuables were taken.",Downtown Dubai
Drugs,Medium,"Outside a busy mall, the suspect was involved in drug distribution at a nightclub.",Al Maktoum International Airport
Theft,Medium,"Outside a busy mall, the victim's backpack was stolen while they were distracted.",Al Quoz
Drugs,Medium,"In the middle of the street, the police found the suspect with narcotics ready for sale.",Al Barsha
Other,Low,"Late at night, a suspect was involved in a petty dispute at a market.",Burj Khalifa
Human Trafficking,High,"Near a public park, the traffickers were arrested after victims were found in a basement.",Al Satwa
Burglary,Low,"During a quiet evening, the suspect carried out a burglary while the owners were on vacation.",City Walk
Rape,High,"Near a public park, the victim was forcefully assaulted in a parking lot.",City Walk
Human Trafficking,High,"In a deserted alley, a human trafficking ring was uncovered, freeing multiple victims.",La Mer Beach
